;dist_code;panchayat;body;code;declared;lead_name;lead_num;lead_party;lead_votes;place;trail_name;trail_num;trail_votes
0;D07001;block_panchayats;ALANGAD ;B07063;True;വി. പി. അനില്‍കുമാര്‍;1;UDF;3540;MANAKKAPADY;ഇസ്മായില്‍;2;2577
1;D07001;block_panchayats;ALANGAD ;B07063;True;കെ എസ്  ഷഹന;2;LDF;3564;KARUMALLOOR;സൈബുന്നീസ റഷീദ്;3;2874
2;D07001;block_panchayats;ALANGAD ;B07063;True;സ്മിത ഹസീബ്;3;LDF;2815;VELIYATHUNADU;സുനിത ഷാജി;2;2613
3;D07001;block_panchayats;ALANGAD ;B07063;True;എം. അനില്‍ കുമാര്‍;1;LDF;3356;KADUNGALLOOR NORTH;പി.കെ. സുരേഷ് ബാബു;4;3192
4;D07001;block_panchayats;ALANGAD ;B07063;True;കെ.ആർ. രാമചന്ദ്രന്‍;2;NDA;3093;KADUNALLOOR WEST;സി.കെ. ബാബു;1;2960
5;D07001;block_panchayats;ALANGAD ;B07063;True;പി.എ. അബൂബക്കര്‍ (അബൂസ്);1;LDF;4589;MUPPATHADAM CENTRAL;ടി.ജെ. ടൈറ്റസ്;2;3735
6;D07001;block_panchayats;ALANGAD ;B07063;True;ട്രീസ മോളി;1;LDF;2970;MUPPATHADAM SOUTH;എ.സി. സുധാദേവി;2;2799
7;D07001;block_panchayats;ALANGAD ;B07063;True;ഹാന്‍സന്‍ മാത്യു;3;UDF;3743;PUTHENPALLY;ബെന്നി പാപ്പച്ചന്‍;1;2693
8;D07001;block_panchayats;ALANGAD ;B07063;True;റാണി മത്തായി;3;UDF;2955;VARAPUZHA;ജെസി സാജന്‍ (ജെസി ടീച്ചർ);1;2899
9;D07001;block_panchayats;ALANGAD ;B07063;True;പ്രിയ ഭരതന്‍;1;LDF;2702;CHIRAKKAKAM;ഷൈനി;3;2617
10;D07001;block_panchayats;ALANGAD ;B07063;True;രമ്യ തോമസ് (രമ്യ ടീച്ചർ);1;OTH;3739;KONGORPPILLY;സിന്ധു ജസ് വന്ത്;3;2997
11;D07001;block_panchayats;ALANGAD ;B07063;True;എം.ആർ. രാധാകൃഷ്ണന്‍;3;LDF;2707;ALANGAD;എം.പി. റഷീദ്;4;2117
12;D07001;block_panchayats;ALANGAD ;B07063;True;ജയശ്രീ ഗോപീകൃഷ്ണന്‍;2;LDF;4070;ALANGAD WEST;അമൃത പ്രകാശ്;1;3038
13;D07001;block_panchayats;ANGAMALI  ;B07064;True;റാണി പോളി;3;UDF;4859;PALISSERY;ഗ്രേസി സെബാസ്റ്റ്യന്‍;1;4261
14;D07001;block_panchayats;ANGAMALI  ;B07064;True;ലാലി ആന്റു;2;UDF;4755;THABOR;ധന്യ ജോയി;1;4345
15;D07001;block_panchayats;ANGAMALI  ;B07064;True;ബിജു കാവുങ്ങ;3;UDF;4204;AYYAMPUZHA;ഷാജി തളിയന്‍;4;3843
16;D07001;block_panchayats;ANGAMALI  ;B07064;True;മനോജ് മുല്ലശ്ശേരി;1;UDF;3616;MALAYATTOOR;ലിന്റോ പയ്യപ്പിള്ളി കുട്ടന്‍;2;2908
17;D07001;block_panchayats;ANGAMALI  ;B07064;True;കൊച്ചുത്രേസ്യ തങ്കച്ചന്‍;2;UDF;4792;NADUVATTOM;ജിന്‍സി ബെന്നി;3;3359
18;D07001;block_panchayats;ANGAMALI  ;B07064;True;സരിത സുനില്‍ ചാലാക്ക;1;UDF;4946;MANJAPRA;സില്‍വി ജോസ്;2;3771
19;D07001;block_panchayats;ANGAMALI  ;B07064;True;മേരി ദേവസ്സിക്കുട്ടി കോലഞ്ചേരി;2;UDF;4060;KALADY;ഫെമി ഷാജി കോലഞ്ചേരി;1;3081
20;D07001;block_panchayats;ANGAMALI  ;B07064;True;​ കെ വി അഭിജിത്ത്;2;LDF;4672;PARAPPURAM;അനില്‍കുമാര്‍;1;3425
21;D07001;block_panchayats;ANGAMALI  ;B07064;True;ആ൯സി ജിജോ;2;OTH;3877;KANJOOR;റൂബി ഡേവിസ്;3;3737
22;D07001;block_panchayats;ANGAMALI  ;B07064;True;സിജോ ചൊവ്വരാന്‍;4;LDF;4359;MATTOOR;ജോര്‍ജ്ജ് മൂന്നുപീടിയേക്കല്‍;1;4193
23;D07001;block_panchayats;ANGAMALI  ;B07064;True;സീലിയ വിന്നി;3;LDF;4709;THURAVOOR;എല്‍സി വര്‍ഗ്ഗീസ്;1;3779
24;D07001;block_panchayats;ANGAMALI  ;B07064;True;അഡ്വ. എം ഒ ജോര്‍ജ്;2;UDF;3797;MOOKKANNOOR;ജോയി മാടശ്ശേരി;1;2692
25;D07001;block_panchayats;ANGAMALI  ;B07064;True;ഷിജി ജോയി;3;UDF;4789;KARUKUTTY;ജിനി ഷാജു കല്ലറയ്ക്കല്‍;1;3337
26;D07001;block_panchayats;EDAPPALLY  ;B07067;True;ശ്യാമള ഷിബു;1;UDF;2596;KADAPURAM;ഷീന സന്തോഷ്;2;1956
27;D07001;block_panchayats;EDAPPALLY  ;B07067;True;ജോസഫ് (ജോസി.വി.എ );2;UDF;1705;KARTHEDAM;ബിജു.സി.ജി;3;1575
28;D07001;block_panchayats;EDAPPALLY  ;B07067;True;മനു ശങ്കര്‍. കെ. പി.;3;OTH;2769;VALIYA KADAMAKUDY;അലക്സ്  മണവാളൻ;1;2352
29;D07001;block_panchayats;EDAPPALLY  ;B07067;True;ട്രീസ മാനുവല്‍;1;UDF;2857;KOTHAD;പേളി ബ്രൈറ്റ്;2;2664
30;D07001;block_panchayats;EDAPPALLY  ;B07067;True;ലിസി വാര്യത്ത്;2;UDF;2887;HEALTH CENTRE;എല്‍സി ഡേവിസ്;1;2658
31;D07001;block_panchayats;EDAPPALLY  ;B07067;True;സ്മിത സ്റ്റാൻലി;3;UDF;2732;VALAM;ഷൈനി സച്ചിദാനന്ദൻ;2;2666
32;D07001;block_panchayats;EDAPPALLY  ;B07067;True;രാജു . എ. എ;3;UDF;3144;CHITTOOR;മനോജ് ഭാസ്കർ;2;1798
33;D07001;block_panchayats;EDAPPALLY  ;B07067;True;അഡ്വക്കേറ്റ് .വിവേക് ഹരിദാസ്;2;UDF;2402;MULAVUKADU NORTH;രാജീവ് . എം . ആർ;1;1989
34;D07001;block_panchayats;EDAPPALLY  ;B07067;True;ഷെല്‍മ  ഹൈസൻറ്;1;UDF;2171;PONNARIMANGALAM;ഷൈല ഗോപകുമാർ;2;1249
35;D07001;block_panchayats;EDAPPALLY  ;B07067;True;മധു . എം . ആർ;1;UDF;2342;VALLARPADAM;വിശ്വനാഥന്‍.പി. കെ;3;1839
36;D07001;block_panchayats;EDAPPALLY  ;B07067;True;ക്ലാര സൈമൺ;1;LDF;2410;LIGHT HOUSE;ലില്ലി ആല്‍ബര്‍ട്ട്;3;1669
37;D07001;block_panchayats;EDAPPALLY  ;B07067;True;നൗഷാദ് . കെ . എച്ച്;2;UDF;2127;PUTHUVYPE;സിബിന്‍ കുമാര്‍ (ബാബു . പി . കെ);3;1988
38;D07001;block_panchayats;EDAPPALLY  ;B07067;True;സരിത സനില്‍;2;UDF;3889;MALIPURAM BEACH;പ്രമീള ഗോപാലകൃഷ്ണന്‍;1;2254
39;D07001;block_panchayats;KOOVAPADY  ;B07065;True;രാജേഷ്  എം കെ;1;UDF;4344;KOODALAPPAD;സലിംബാബു;3;2912
40;D07001;block_panchayats;KOOVAPADY  ;B07065;True;അനു അബീഷ്;1;UDF;4953;KODANAD;ജാന്‍സി ജോർജ്;2;3515
41;D07001;block_panchayats;KOOVAPADY  ;B07065;True;പി ആർ നാരായണന്‍ നായര്‍;2;LDF;3480;KRARIYELY;റിജു കുര്യന്‍;4;3451
42;D07001;block_panchayats;KOOVAPADY  ;B07065;True;ഡെയ്സി ജെയിംസ്;1;UDF;3232;VENGOOR;റിജി മത്തായി;3;2815
43;D07001;block_panchayats;KOOVAPADY  ;B07065;True;ലതാഞ്ജലി മുരുകന്‍;2;UDF;3313;ASAMANNOOR;ശോഭന ബാലകൃഷ്ണന്‍;3;3170
44;D07001;block_panchayats;KOOVAPADY  ;B07065;True;സലിം എൻ എം;3;UDF;3206;METHALA;സുജു ജോണി;4;3005
45;D07001;block_panchayats;KOOVAPADY  ;B07065;True;ബീന  ഗോപിനാഥ്;2;LDF;3665;KEEZHILLAM;കനകം ബി പിള്ള;1;3390
46;D07001;block_panchayats;KOOVAPADY  ;B07065;True;അംബിക മുരളീധരന്‍;1;UDF;4062;PULLUVAZHI;ശ്രീജ വേണുഗോപാൽ;3;4032
47;D07001;block_panchayats;KOOVAPADY  ;B07065;True;ബേസില്‍ പോൾ;2;UDF;4023;RAYAMANGALAM;അരുണ്‍ പ്രശോഭ്;1;2782
48;D07001;block_panchayats;KOOVAPADY  ;B07065;True;ഷോജ റോയി;3;UDF;3743;MUDAKKUZHA;ജയന്തി ഷൺമുഖം;1;2444
49;D07001;block_panchayats;KOOVAPADY  ;B07065;True;അജിത്കുമാര്‍ എ റ്റി;1;UDF;3363;ELAMBAKAPPILLY;സന്തോഷ് കുമാര്‍ പി ബി;3;2328
50;D07001;block_panchayats;KOOVAPADY  ;B07065;True;മോളി തോമസ്;1;UDF;4134;KOOVAPPADY;റാണി സെബാസ്റ്റ്യന്‍;3;3194
51;D07001;block_panchayats;KOOVAPADY  ;B07065;True;സി ജെ ബാബു;2;UDF;3496;OKKAL;സി വി ശശി;3;3464
52;D07001;block_panchayats;KOTHAMANGALAM  ;B07072;True;ആഷ ജെയിംസ് ( ആഷ അജിൻ );1;LDF;4712;KOTTAPADY;മിനി ദേവസ്സി;2;3545
53;D07001;block_panchayats;KOTHAMANGALAM  ;B07072;True;ലിസ്സി ജോസഫ്;2;LDF;4699;BHUTHATHANKETTU;മോളി ഏലിയാസ്;1;4542
54;D07001;block_panchayats;KOTHAMANGALAM  ;B07072;True;വർഗ്ഗീസ്  (ജെയിംസ് കോറമ്പേൽ);3;UDF;3469;EDAMALAYAR;സജി.എ.പോൾ;5;2897
55;D07001;block_panchayats;KOTHAMANGALAM  ;B07072;True;കെ.കെ. ഗോപി;3;LDF;4261;KUTTAMPUZHA;ഫ്രാന്‍സിസ് ചാലില്‍;4;3072
56;D07001;block_panchayats;KOTHAMANGALAM  ;B07072;True;ജോമി അബ്രാഹം ( ജോമി തെക്കേക്കര );3;UDF;3474;KEERAMPARA;ജോബ് കെ. ഇ. (ജോവാച്ചൻ കൊന്നയ്ക്കല്‍ );2;3279
57;D07001;block_panchayats;KOTHAMANGALAM  ;B07072;True;കണ്ണന്‍ പി.എം (പുള്ളിയില്‍);2;LDF;4886;NERIYAMANGALAM;ഉലഹന്നാന്‍ (ജോസ് സവിത );1;2598
58;D07001;block_panchayats;KOTHAMANGALAM  ;B07072;True;കുഞ്ഞുമോന്‍ ടി.കെ;1;UDF;4123;KAVALANGAD;വി.കെ കുഞ്ഞുമോന്‍   (വെള്ളാപ്പാറ );2;3968
59;D07001;block_panchayats;KOTHAMANGALAM  ;B07072;True;ആനീസ് ഫ്രാന്‍സിസ്;1;UDF;4558;PAINGOTTOOR;കൊച്ചുത്രേസ്യ രാജന്‍;2;3241
